"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.713048917E0,-1.574202180E-1,-3.312789202E-1,-3.672119677E-1,5.190100936E-1
2.722991917E0,-2.130934000E-1,-3.266204596E-1,-2.881532609E-1,4.848938271E-1
2.732933917E0,-3.093078136E-1,-2.332364619E-1,-2.772521377E-1,4.763814843E-1
2.742876917E0,-4.543772340E-1,-1.124974713E-1,-3.003944755E-1,5.561934849E-1
2.752818917E0,-6.278705001E-1,7.119033486E-2,-3.163596094E-1,7.066631666E-1
2.762761917E0,-8.163781166E-1,2.756437659E-1,-2.936555445E-1,9.103220825E-1
2.772704917E0,-9.943009615E-1,4.299733937E-1,-2.251731753E-1,1.106442262E0
2.782646917E0,-1.128760099E0,4.962973297E-1,-1.177300364E-1,1.238656838E0
2.792589917E0,-1.207322001E0,4.138208330E-1,7.593795657E-3,1.276296111E0
2.802531917E0,-1.253114343E0,2.467635423E-1,1.231462955E-1,1.283102806E0
2.812474917E0,-1.308528543E0,9.745315462E-2,2.455590218E-1,1.334931945E0
2.822416917E0,-1.351693511E0,8.042677306E-3,3.536984324E-1,1.397226758E0
2.832359917E0,-1.374065161E0,2.709164750E-3,4.077062607E-1,1.433278340E0
2.842301917E0,-1.395310163E0,6.243310869E-2,3.729444146E-1,1.445640302E0
2.852244917E0,-1.442753077E0,1.964500248E-1,2.764583528E-1,1.482079037E0
2.862186917E0,-1.526082993E0,3.658707440E-1,2.241249382E-1,1.585251617E0
2.872129917E0,-1.667074203E0,5.157084465E-1,2.558248043E-1,1.763671719E0
2.882072917E0,-1.845811486E0,6.193485856E-1,3.645689487E-1,1.980788538E0
2.892015333E0,-1.974837184E0,6.243202090E-1,4.926645756E-1,2.128961252E0
2.901958333E0,-2.002691507E0,5.017507076E-1,5.848394632E-1,2.145824840E0
2.911900333E0,-1.940822363E0,2.639525533E-1,6.467307806E-1,2.062698014E0
2.921843333E0,-1.814105392E0,-2.925462089E-2,6.791124940E-1,1.937273337E0
2.931785333E0,-1.659332275E0,-2.635011971E-1,7.039284110E-1,1.821628856E0
2.941728333E0,-1.487239361E0,-3.807292879E-1,7.254933715E-1,1.697991855E0
2.951670333E0,-1.334675908E0,-3.296834230E-1,7.253442407E-1,1.554405097E0
2.961613333E0,-1.208251357E0,-1.796089113E-1,7.084007859E-1,1.412077327E0
2.971556333E0,-1.130707264E0,2.409920096E-2,6.978323460E-1,1.328928016E0
2.981498333E0,-1.103657603E0,2.029446214E-1,7.130669951E-1,1.329552994E0
2.991441333E0,-1.118173122E0,2.898741663E-1,7.582387328E-1,1.381761246E0
3.001383333E0,-1.140710950E0,2.597833574E-1,8.256372809E-1,1.431916821E0
3.011326333E0,-1.145698309E0,1.226689145E-1,8.755931258E-1,1.447181951E0
3.021268333E0,-1.119911432E0,-7.053177338E-3,8.791097999E-1,1.423757495E0
3.031211333E0,-1.066475630E0,-1.265628040E-1,8.484328389E-1,1.368658721E0
3.041153333E0,-1.013132095E0,-2.375837564E-1,7.825024128E-1,1.301995664E0
3.051096333E0,-9.307038784E-1,-3.220608234E-1,7.511538267E-1,1.238614127E0
