"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.859237660E-1,2.261481285E0,-7.918457985E-1,-2.532122135E0,3.486109562E0
9.906942350E-1,2.243984461E0,-7.725386620E-1,-2.519543171E0,3.461268559E0
9.954647040E-1,2.198815584E0,-7.737834454E-1,-2.472062111E0,3.397737758E0
1.000235173E0,2.173362970E0,-7.192592621E-1,-2.432753086E0,3.340528112E0
1.005005641E0,2.160263062E0,-6.233959198E-1,-2.399263859E0,3.288134126E0
1.009776162E0,2.168906212E0,-5.625700951E-1,-2.362050056E0,3.255751793E0
1.014546631E0,2.213617325E0,-5.175228119E-1,-2.299683571E0,3.233647484E0
1.019317100E0,2.270587444E0,-4.856348038E-1,-2.250439644E0,3.233556416E0
1.024087568E0,2.349564075E0,-4.644103050E-1,-2.159452915E0,3.224804671E0
1.028858037E0,2.441098690E0,-4.586586952E-1,-2.038727760E0,3.213369181E0
1.033628506E0,2.495399475E0,-4.277777672E-1,-1.902656555E0,3.167035574E0
1.038398975E0,2.577277422E0,-3.982081413E-1,-1.753563881E0,3.142596843E0
1.043169443E0,2.653429747E0,-3.675980568E-1,-1.603350163E0,3.121946427E0
1.047939912E0,2.735997915E0,-3.456082344E-1,-1.435235500E0,3.108863230E0
1.052710433E0,2.743978024E0,-3.395547867E-1,-1.253926277E0,3.035958490E0
1.057480902E0,2.756301165E0,-3.233699799E-1,-1.104611874E0,2.986960268E0
1.062251370E0,2.725393057E0,-3.687198162E-1,-9.894237518E-1,2.922786509E0
1.067021839E0,2.677677870E0,-3.779053688E-1,-8.771004677E-1,2.842899307E0
1.071792308E0,2.608552933E0,-3.774960041E-1,-7.794184685E-1,2.748553217E0
1.076562777E0,2.506140709E0,-3.105394840E-1,-7.319593430E-1,2.629247136E0
1.081333245E0,2.356267214E0,-2.490806580E-1,-6.652760506E-1,2.461021857E0
1.086103766E0,2.201985598E0,-1.980299950E-1,-6.246395111E-1,2.297418327E0
1.090874235E0,2.079028606E0,-1.241085529E-1,-6.694445610E-1,2.187674313E0
1.095644704E0,2.030038595E0,-6.076526642E-2,-7.445459366E-1,2.163122227E0
1.100415173E0,2.011946201E0,2.549028397E-2,-8.212671280E-1,2.173259526E0
1.105185641E0,2.065095186E0,9.891700745E-2,-8.925094604E-1,2.251882732E0
1.109956110E0,2.150937319E0,2.003471851E-1,-9.775018692E-1,2.371113715E0
1.114726579E0,2.278697968E0,3.466038704E-1,-1.076318741E0,2.543827962E0
1.119497100E0,2.433923006E0,4.974086285E-1,-1.181944847E0,2.751070731E0
1.124267516E0,2.633346796E0,6.100585461E-1,-1.282515049E0,2.991911033E0
1.129038037E0,2.860502958E0,7.756173611E-1,-1.382951736E0,3.270567989E0
1.133808506E0,3.046681643E0,8.486971855E-1,-1.435650349E0,3.473276244E0
1.138578975E0,3.247494698E0,9.894802570E-1,-1.502792835E0,3.712637781E0
1.143349443E0,3.432345390E0,1.021490097E0,-1.541464329E0,3.898788167E0
1.148119912E0,3.577738285E0,1.007233858E0,-1.589936733E0,4.042601897E0
1.152890381E0,3.641024113E0,9.422547817E-1,-1.621998310E0,4.095824603E0
1.157660850E0,3.639100790E0,8.627715111E-1,-1.623524189E0,4.077163233E0
1.162431370E0,3.554968119E0,7.928843498E-1,-1.578044891E0,3.969469687E0
1.167201839E0,3.404885530E0,7.565951347E-1,-1.483445644E0,3.790289257E0
1.171972308E0,3.152443647E0,7.396032810E-1,-1.332813263E0,3.501614650E0
1.176742777E0,2.849750996E0,7.585773468E-1,-1.143047333E0,3.162764223E0
1.181513245E0,2.572874069E0,8.132653236E-1,-9.690232277E-1,2.867069493E0
1.186283714E0,2.312332153E0,8.248798847E-1,-7.415027618E-1,2.564592201E0
1.191054183E0,2.123142719E0,8.196375370E-1,-5.296773911E-1,2.336685438E0
1.195824704E0,1.967169762E0,8.045134544E-1,-3.214168549E-1,2.149490071E0
1.200595173E0,1.889790177E0,7.816092968E-1,-1.189126968E-1,2.048501949E0
1.205365641E0,1.867032766E0,7.528166771E-1,5.425834656E-2,2.013824289E0
1.210136110E0,1.903547764E0,7.343144417E-1,1.626825333E-1,2.046748005E0
1.214906579E0,1.985017538E0,7.421104908E-1,2.449846268E-1,2.133316684E0
1.219677048E0,2.073130608E0,7.683870792E-1,3.181409836E-1,2.233719522E0
1.224447516E0,2.179659128E0,7.791564465E-1,3.871221542E-1,2.346883518E0
1.229217985E0,2.268386364E0,8.334600925E-1,4.497308731E-1,2.458147734E0
1.233988454E0,2.324667692E0,8.688297272E-1,5.370540619E-1,2.539167588E0
1.238758975E0,2.355439663E0,9.087631702E-1,6.181049347E-1,2.599230697E0
1.243529443E0,2.384490967E0,9.530079365E-1,6.977100372E-1,2.660981134E0
1.248299912E0,2.387907267E0,1.020352840E0,7.306280136E-1,2.697598622E0
1.253070381E0,2.463696957E0,1.072484970E0,7.742290497E-1,2.796329259E0
1.257840850E0,2.566729069E0,1.092789888E0,8.165063858E-1,2.906711291E0
1.262611318E0,2.704467297E0,1.126850128E0,8.621406555E-1,3.054049947E0
1.267381787E0,2.812735081E0,1.115239382E0,8.847913742E-1,3.152474154E0
1.272152256E0,2.834681034E0,1.096576214E0,9.130344391E-1,3.173567054E0
1.276922777E0,2.837399006E0,1.059355736E0,9.347963333E-1,3.169686401E0
1.281693245E0,2.773155689E0,1.039911747E0,9.475660324E-1,3.109612565E0
1.286463714E0,2.649224758E0,1.007579565E0,9.512662888E-1,2.989735097E0
1.291234183E0,2.503848553E0,9.937458038E-1,9.363012314E-1,2.851920106E0
1.296004652E0,2.351084471E0,1.005826235E0,9.122028351E-1,2.715031973E0
1.300775120E0,2.174063206E0,9.604094028E-1,8.837566376E-1,2.535737139E0
1.305545589E0,2.048994064E0,9.436004162E-1,8.462057114E-1,2.409319930E0
1.310316110E0,1.978192568E0,9.408996105E-1,8.377532959E-1,2.345286442E0
1.315086579E0,1.933020115E0,9.521033764E-1,8.249464035E-1,2.307293690E0
1.319857048E0,1.923316956E0,9.841008186E-1,8.316726685E-1,2.315012302E0
1.324627516E0,1.977872133E0,9.698147774E-1,8.507404327E-1,2.361414441E0
1.329397985E0,2.053571701E0,8.708062172E-1,8.631324768E-1,2.391747870E0
1.334168454E0,2.121690512E0,7.133283615E-1,8.570108414E-1,2.396847004E0
1.338938923E0,2.127308846E0,6.190392971E-1,8.348617554E-1,2.367624701E0
1.343709391E0,2.106191635E0,5.639944077E-1,8.181810379E-1,2.328852315E0
1.348479912E0,2.020145893E0,5.623743534E-1,8.331851959E-1,2.256424586E0
1.353250381E0,1.981496096E0,5.974457264E-1,8.368053436E-1,2.232377960E0
1.358020850E0,2.059561014E0,6.884310246E-1,8.504400253E-1,2.332161462E0
1.362791318E0,2.292611837E0,7.186620235E-1,8.858337402E-1,2.560711924E0
1.367561787E0,2.592433929E0,7.125635147E-1,9.403791428E-1,2.848293063E0
1.372332256E0,2.856753111E0,6.255023479E-1,9.780550003E-1,3.083647695E0
1.377102725E0,2.988393068E0,5.561540127E-1,1.013021469E0,3.204061940E0
1.381873193E0,3.014343739E0,5.359425545E-1,1.028436661E0,3.229734441E0
1.386643714E0,2.863394737E0,5.104496479E-1,1.045691490E0,3.090802316E0
1.391414183E0,2.664602041E0,4.847568274E-1,1.117208481E0,2.929718077E0
1.396184652E0,2.401089668E0,4.232788086E-1,1.211812019E0,2.722661366E0
1.400955120E0,2.060804844E0,3.715952635E-1,1.284137726E0,2.456422061E0
1.405725589E0,1.712846637E0,2.960404158E-1,1.341520309E0,2.195714068E0
1.410496058E0,1.399980307E0,2.201819420E-1,1.393662453E0,1.987641813E0
1.415266527E0,1.124281168E0,1.531944275E-1,1.428771973E0,1.824518026E0
1.420036995E0,9.663689137E-1,-1.270353794E-2,1.473283768E0,1.761986185E0
1.424807464E0,8.822438717E-1,-1.943908930E-1,1.556033134E0,1.799272404E0
1.429577985E0,8.276783228E-1,-3.827990294E-1,1.686704636E0,1.917435535E0
1.434348454E0,7.203574181E-1,-5.260515213E-1,1.848756790E0,2.052692544E0
1.439118923E0,5.690362453E-1,-5.484695435E-1,2.032812119E0,2.181042457E0
1.443889391E0,4.041500092E-1,-4.772238731E-1,2.196109772E0,2.283413669E0
1.448659860E0,3.353893757E-1,-3.250472546E-1,2.367467880E0,2.413098820E0
1.453430329E0,5.158472061E-1,-1.761394739E-1,2.589764595E0,2.646507909E0
1.458200798E0,8.220214844E-1,-8.570194244E-2,2.783981323E0,2.904068896E0
1.462971318E0,1.088081717E0,-8.230590820E-2,3.054911613E0,3.243945291E0
1.467741787E0,1.329892397E0,-1.085047722E-1,3.309029579E0,3.567921500E0
1.472512256E0,1.420127392E0,-1.330777407E-1,3.555619240E0,3.831044201E0
1.477282725E0,1.384146452E0,-1.627595425E-1,3.744311333E0,3.995274637E0
